"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что можно создать заказ с ингредиентами авторизованным пользователем","3254","Создание заказа с ингредиентами авторизованным пользователем","","Tue Jul 01 21:38:10 MSK 2025","passed","Tue Jul 01 21:38:13 MSK 2025","","ru.yandex.practicum.tests.OrderCreateTest","ru.yandex.practicum.tests.OrderCreateTest","createOrderWithIngredientsAuthorizedUserReturn200"
"Проверка, что нельзя создать пользователя без обязательного поля email","132","Создание пользователя без email","","Tue Jul 01 21:38:13 MSK 2025","passed","Tue Jul 01 21:38:14 MSK 2025","","ru.yandex.practicum.tests.UserCreateTest","ru.yandex.practicum.tests.UserCreateTest","createUserWithoutEmailReturn403"
"Проверка, что нельзя создать пользователя без обязательного поля password","114","Создание пользователя без пароля","","Tue Jul 01 21:38:13 MSK 2025","passed","Tue Jul 01 21:38:13 MSK 2025","","ru.yandex.practicum.tests.UserCreateTest","ru.yandex.practicum.tests.UserCreateTest","createUserWithoutPasswordReturn403"
"Проверка, что нельзя авторизоваться с несуществующим логином","798","Авторизация пользователя с неверным логином","","Tue Jul 01 21:38:17 MSK 2025","passed","Tue Jul 01 21:38:18 MSK 2025","","ru.yandex.practicum.tests.UserLoginTest","ru.yandex.practicum.tests.UserLoginTest","loginUserWithNonExistentEmailReturn401"
"Проверка, что нельзя создать заказ с неверным хешем ингредиентов","1064","Создание заказа с неверным хешем ингредиентов","","Tue Jul 01 21:38:07 MSK 2025","passed","Tue Jul 01 21:38:08 MSK 2025","","ru.yandex.practicum.tests.OrderCreateTest","ru.yandex.practicum.tests.OrderCreateTest","createOrderWithInvalidIngredientHashReturn500"
"Проверка, что можно авторизоваться с данными существующего пользователя","855","Авторизация существующего пользователя","","Tue Jul 01 21:38:16 MSK 2025","passed","Tue Jul 01 21:38:17 MSK 2025","","ru.yandex.practicum.tests.UserLoginTest","ru.yandex.practicum.tests.UserLoginTest","loginUserWithExistedUserReturn200"
"Проверка, что нельзя авторизоваться без обязательного поля email","890","Авторизация пользователя без логина","","Tue Jul 01 21:38:15 MSK 2025","passed","Tue Jul 01 21:38:16 MSK 2025","","ru.yandex.practicum.tests.UserLoginTest","ru.yandex.practicum.tests.UserLoginTest","loginUserWithoutEmailReturn401"
"Проверка, что нельзя авторизоваться с несуществующим паролем","916","Авторизация пользователя с неверным паролем","","Tue Jul 01 21:38:18 MSK 2025","passed","Tue Jul 01 21:38:19 MSK 2025","","ru.yandex.practicum.tests.UserLoginTest","ru.yandex.practicum.tests.UserLoginTest","loginUserWithNonExistentPasswordReturn401"
"Проверка, что нельзя создать заказ без поля ингредиенты","957","Создание заказа без поля ингредиенты","","Tue Jul 01 21:38:08 MSK 2025","passed","Tue Jul 01 21:38:09 MSK 2025","","ru.yandex.practicum.tests.OrderCreateTest","ru.yandex.practicum.tests.OrderCreateTest","createOrderWithoutFieldIngredientsReturn400"
"Проверка, что можно создать заказ с ингредиентами неавторизованным пользователем","955","Создание заказа с ингредиентами неавторизованным пользователем","","Tue Jul 01 21:38:09 MSK 2025","passed","Tue Jul 01 21:38:10 MSK 2025","","ru.yandex.practicum.tests.OrderCreateTest","ru.yandex.practicum.tests.OrderCreateTest","createOrderWithIngredientsUnauthorizedUserReturn200"
"Проверка, что можно создать пользователя передав все обязательные поля","674","Создание уникального пользователя","","Tue Jul 01 21:38:14 MSK 2025","passed","Tue Jul 01 21:38:14 MSK 2025","","ru.yandex.practicum.tests.UserCreateTest","ru.yandex.practicum.tests.UserCreateTest","createUserWithRequiredFieldsReturn200"
"Проверка, что нельзя создать пользователя, который уже зарегистрирован","828","Создание существующего пользователя","","Tue Jul 01 21:38:14 MSK 2025","passed","Tue Jul 01 21:38:15 MSK 2025","","ru.yandex.practicum.tests.UserCreateTest","ru.yandex.practicum.tests.UserCreateTest","createExistedUserReturn403"
"Проверка, что нельзя создать пользователя без обязательного поля name","116","Создание пользователя без имени","","Tue Jul 01 21:38:14 MSK 2025","passed","Tue Jul 01 21:38:14 MSK 2025","","ru.yandex.practicum.tests.UserCreateTest","ru.yandex.practicum.tests.UserCreateTest","createUserWithoutNameReturn403"
"Проверка, что нельзя создать заказ без ингредиентов","3702","Создание заказа без ингредиентов","","Tue Jul 01 21:38:03 MSK 2025","passed","Tue Jul 01 21:38:07 MSK 2025","","ru.yandex.practicum.tests.OrderCreateTest","ru.yandex.practicum.tests.OrderCreateTest","createOrderWithoutIngredientsReturn400"
"Проверка, что нельзя авторизоваться без обязательного поля password","778","Авторизация пользователя без пароля","","Tue Jul 01 21:38:19 MSK 2025","passed","Tue Jul 01 21:38:19 MSK 2025","","ru.yandex.practicum.tests.UserLoginTest","ru.yandex.practicum.tests.UserLoginTest","loginUserWithoutPasswordReturn401"
